15:06:49.184 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionManager' of type [com.trademark.cms.controller.shiro.CmsSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:06:49.186 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheManager' of type [org.crazycake.shiro.RedisCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:06:49.190 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:06:49.209 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'captchaValidate' of type [com.trademark.cms.controller.shiro.CmsCaptchaValidateFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:06:49.223 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'formAuthenticationFilter' of type [com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:06:49.505 [main] INFO   org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
15:06:49.518 [main] INFO   org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
15:06:49.518 [main] INFO   org.apache.catalina.core.StandardService - Starting service [Tomcat]
15:06:49.519 [main] INFO   org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
15:06:49.661 [main] INFO   org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/syoom-trademark] - Initializing Spring embedded WebApplicationContext
15:06:49.661 [main] INFO   org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3656 ms
15:06:49.953 [main] INFO   tk.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
15:06:49.953 [main] INFO   tk.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
15:06:49.954 [main] INFO   tk.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
15:06:49.956 [main] INFO   tk.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
15:06:50.523 [main] INFO   org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
15:06:50.557 [main] INFO   org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path '/syoom-trademark'
15:06:50.567 [main] INFO   com.trademark.cms.controller.CmsTrademarkApplication - Started CmsTrademarkApplication in 5.651 seconds (JVM running for 7.662)
15:07:52.570 [http-nio-8083-exec-3] INFO   org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/syoom-trademark] - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:07:52.571 [http-nio-8083-exec-3] INFO   org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
15:07:52.581 [http-nio-8083-exec-3] INFO   org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
15:07:52.597 [http-nio-8083-exec-3] INFO   org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Enabling session validation scheduler...
15:08:24.412 [http-nio-8083-exec-3] INFO   com.trademark.cms.controller.shiro.CmsCaptchaValidateFilter - requestUrl=/syoom-trademark/admin/doLogin
15:08:43.178 [http-nio-8083-exec-3] INFO  dc952258-df50-4204-b88e-9d5811f9aac2 com.trademark.cms.controller.shiro.CmsShiroRealm - getName()==com.trademark.cms.controller.shiro.CmsShiroRealm_0
15:11:16.117 [http-nio-8083-exec-5] INFO   com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter - onAccessDenied1:shiroLoginFailure
15:11:17.008 [http-nio-8083-exec-5] INFO   com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter - onAccessDenied2:null
15:11:20.089 [http-nio-8083-exec-5] INFO   com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter - isLoginSubmission(request, response):true
15:11:20.504 [http-nio-8083-exec-5] INFO   com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter - isLoginSubmission(request, response):GET
15:11:21.042 [http-nio-8083-exec-5] INFO   com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter - isLoginSubmission(request, response):/syoom-trademark/unauth
15:11:33.490 [http-nio-8083-exec-5] INFO   com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter - null
15:11:33.968 [http-nio-8083-exec-5] INFO   com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter - null
15:11:38.388 [http-nio-8083-exec-5] INFO  15579238-52e5-4e3f-aed2-2ff0d9fefcd7 com.trademark.cms.controller.CmsBaseController - 未登录
15:13:41.005 [SpringContextShutdownHook] INFO   com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
15:13:48.120 [main] INFO   com.trademark.cms.controller.CmsTrademarkApplication - Starting CmsTrademarkApplication on DESKTOP-MU4ALJO with PID 24024 (D:\workspace\idea\trademark-cms\trademark-cms-controller\target\classes started by lenovo in D:\workspace\idea\trademark-cms)
15:13:48.123 [main] INFO   com.trademark.cms.controller.CmsTrademarkApplication - The following profiles are active: local
15:13:49.035 [main] INFO   org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
