09:53:43.195 [http-nio-8083-exec-4] INFO   com.trademark.cms.controller.shiro.CmsCaptchaValidateFilter - 验证码过期
10:25:44.655 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionManager' of type [com.trademark.cms.controller.shiro.CmsSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:44.657 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheManager' of type [org.crazycake.shiro.RedisCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:44.660 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeCookie' of type [org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:44.663 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cookieRememberMeManager' of type [org.apache.shiro.web.mgt.CookieRememberMeManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:44.665 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:44.687 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'captchaValidate' of type [com.trademark.cms.controller.shiro.CmsCaptchaValidateFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:44.699 [main] INFO   org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'formAuthenticationFilter' of type [com.trademark.cms.controller.shiro.CmsFormAuthenticationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
10:25:45.162 [main] INFO   org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
10:25:45.180 [main] INFO   org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
10:25:45.181 [main] INFO   org.apache.catalina.core.StandardService - Starting service [Tomcat]
10:25:45.181 [main] INFO   org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
10:25:45.359 [main] INFO   org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/syoom-trademark] - Initializing Spring embedded WebApplicationContext
10:25:45.359 [main] INFO   org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4683 ms
